
1610290079812,abdomen,1747,1610290079412,
1610290079812,abdomen,1738,1610290079512,
1610290079812,abdomen,1746,1610290079612,
1610290079812,abdomen,1743,1610290079712,
1610290079812,abdomen,1745,1610290079812,
1610290080046,ribcage,1780,1610290079446,
1610290080046,ribcage,1769,1610290079546,
1610290080046,ribcage,1773,1610290079646,
1610290080046,ribcage,1777,1610290079746,
1610290080046,ribcage,1773,1610290079846,
1610290080046,ribcage,1778,1610290079946,
1610290080046,ribcage,1773,1610290080046,
1610290080354,rr,1256,
1610290080354,heartrate,64,
1610290080504,abdomen,1735,1610290079904,
1610290080504,abdomen,1738,1610290080004,
1610290080504,abdomen,1743,1610290080104,
1610290080504,abdomen,1743,1610290080204,
1610290080504,abdomen,1754,1610290080304,
1610290080504,abdomen,1753,1610290080404,
1610290080504,abdomen,1767,1610290080504,
1610290080745,ribcage,1779,1610290080145,
1610290080745,ribcage,1782,1610290080245,
1610290080745,ribcage,1787,1610290080345,
1610290080745,ribcage,1789,1610290080445,
1610290080745,ribcage,1799,1610290080545,
1610290080745,ribcage,1801,1610290080645,
1610290080745,ribcage,1804,1610290080745,
1610290081204,abdomen,1764,1610290080604,
1610290081204,abdomen,1763,1610290080704,
1610290081204,abdomen,1766,1610290080804,
1610290081204,abdomen,1770,1610290080904,
1610290081204,abdomen,1778,1610290081004,
1610290081204,abdomen,1772,1610290081104,
1610290081204,abdomen,1775,1610290081204,
1610290081446,ribcage,1813,1610290080846,
1610290081446,ribcage,1817,1610290080946,
1610290081446,ribcage,1819,1610290081046,
1610290081446,ribcage,1822,1610290081146,
1610290081446,ribcage,1820,1610290081246,
1610290081446,ribcage,1816,1610290081346,
1610290081446,ribcage,1814,1610290081446,
1610290081904,abdomen,1775,1610290081304,
1610290081904,abdomen,1764,1610290081404,
1610290081904,abdomen,1771,1610290081504,
1610290081904,abdomen,1765,1610290081604,
1610290081904,abdomen,1760,1610290081704,
1610290081904,abdomen,1749,1610290081804,
1610290081904,abdomen,1754,1610290081904,
1610290082146,ribcage,1814,1610290081546,
1610290082146,ribcage,1810,1610290081646,
1610290082146,ribcage,1800,1610290081746,
1610290082146,ribcage,1804,1610290081846,
1610290082146,ribcage,1798,1610290081946,
1610290082146,ribcage,1799,1610290082046,
1610290082146,ribcage,1789,1610290082146,
1610290082348,rr,1072,
1610290082348,heartrate,64,
1610290082604,abdomen,1749,1610290082004,
1610290082604,abdomen,1746,1610290082104,
1610290082604,abdomen,1752,1610290082204,
1610290082604,abdomen,1746,1610290082304,
1610290082604,abdomen,1750,1610290082404,
1610290082604,abdomen,1746,1610290082504,
1610290082604,abdomen,1747,1610290082604,
1610290082845,ribcage,1789,1610290082245,
1610290082845,ribcage,1789,1610290082345,
1610290082845,ribcage,1783,1610290082445,
1610290082845,ribcage,1789,1610290082545,
1610290082845,ribcage,1779,1610290082645,
1610290082845,ribcage,1779,1610290082745,
1610290082845,ribcage,1779,1610290082845,
1610290083304,abdomen,1750,1610290082704,
1610290083304,abdomen,1753,1610290082804,
1610290083304,abdomen,1750,1610290082904,
1610290083304,abdomen,1747,1610290083004,
1610290083304,abdomen,1749,1610290083104,
1610290083304,abdomen,1750,1610290083204,
1610290083304,abdomen,1746,1610290083304,
1610290083378,heartrate,64,
1610290083545,ribcage,1782,1610290082945,
1610290083545,ribcage,1781,1610290083045,
1610290083545,ribcage,1782,1610290083145,
1610290083545,ribcage,1783,1610290083245,
1610290083545,ribcage,1780,1610290083345,
1610290083545,ribcage,1784,1610290083445,
1610290083545,ribcage,1782,1610290083545,
1610290084003,abdomen,1750,1610290083403,
1610290084003,abdomen,1749,1610290083503,
1610290084003,abdomen,1753,1610290083603,
1610290084003,abdomen,1743,1610290083703,
1610290084003,abdomen,1753,1610290083803,
1610290084003,abdomen,1759,1610290083903,
1610290084003,abdomen,1762,1610290084003,
1610290084245,ribcage,1779,1610290083645,
1610290084245,ribcage,1786,1610290083745,
1610290084245,ribcage,1786,1610290083845,
1610290084245,ribcage,1794,1610290083945,
1610290084245,ribcage,1790,1610290084045,
1610290084245,ribcage,1804,1610290084145,
1610290084245,ribcage,1807,1610290084245,
1610290084343,rr,1259,
1610290084343,heartrate,64,
1610290084704,abdomen,1772,1610290084104,
1610290084704,abdomen,1769,1610290084204,
1610290084704,abdomen,1776,1610290084304,
1610290084704,abdomen,1779,1610290084404,
1610290084704,abdomen,1785,1610290084504,
1610290084704,abdomen,1798,1610290084604,
1610290084704,abdomen,1802,1610290084704,
1610290084945,ribcage,1810,1610290084345,
1610290084945,ribcage,1825,1610290084445,
1610290084945,ribcage,1827,1610290084545,
1610290084945,ribcage,1835,1610290084645,
1610290084945,ribcage,1833,1610290084745,
1610290084945,ribcage,1830,1610290084845,
1610290084945,ribcage,1824,1610290084945,
1610290085338,rr,1359,
1610290085338,heartrate,64,
1610290085400,abdomen,1809,1610290084800,
1610290085400,abdomen,1799,1610290084900,
1610290085400,abdomen,1799,1610290085000,
1610290085400,abdomen,1795,1610290085100,
1610290085400,abdomen,1783,1610290085200,
1610290085400,abdomen,1787,1610290085300,
1610290085400,abdomen,1783,1610290085400,
1610290085651,ribcage,1822,1610290085051,
1610290085651,ribcage,1818,1610290085151,
1610290085651,ribcage,1809,1610290085251,
1610290085651,ribcage,1810,1610290085351,
1610290085651,ribcage,1812,1610290085451,
1610290085651,ribcage,1804,1610290085551,
1610290085651,ribcage,1806,1610290085651,
1610290086104,abdomen,1780,1610290085504,
1610290086104,abdomen,1771,1610290085604,
1610290086104,abdomen,1773,1610290085704,
1610290086104,abdomen,1769,1610290085804,
1610290086104,abdomen,1762,1610290085904,
1610290086104,abdomen,1760,1610290086004,
1610290086104,abdomen,1750,1610290086104,
1610290086339,rr,951,
1610290086339,heartrate,64,
1610290086344,ribcage,1799,1610290085744,
1610290086344,ribcage,1798,1610290085844,
